"","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd"
"GO:0032291","axon ensheathment in central nervous system",0.0505311958259915,0.238271731143956,-1.63972484036636,13,-0.0023958708009306,0.00293090882501855
"GO:0070340","detection of bacterial lipopeptide",0.0505436510453081,0.238271731143956,-1.63960509962745,3,-0.00596212669710087,0.00970051144933034
"GO:0071723","lipopeptide binding",0.0505436510453081,0.238271731143956,-1.63960509962745,3,-0.00596212669710087,0.00970051144933034
"GO:0048699","generation of neurons",0.0505568148772335,0.238271731143956,1.63947857204708,1219,0.00122781997771282,0.00715009206537908
"GO:0004336","galactosylceramidase activity",0.0505829321557428,0.238271731143956,1.63922761672592,1,0.0127828073097496,NA
"GO:0006683","galactosylceramide catabolic process",0.0505829321557428,0.238271731143956,1.63922761672592,1,0.0127828073097496,NA
"GO:0046640","regulation of alpha-beta T cell proliferation",0.0505855234377883,0.238271731143956,-1.63920272328202,20,-0.00175587658575364,0.00630825050255919
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition",0.0506077129015315,0.238271731143956,1.63898959926986,40,0.00277620772902573,0.00645169139708677
"GO:0016405","CoA-ligase activity",0.0506614988794857,0.238271731143956,1.63847330767965,8,0.00509824922378174,0.00534493034200177
"GO:0008601","protein phosphatase type 2A regulator activity",0.0506709558794772,0.238271731143956,1.63838257507239,20,0.00355403380464048,0.00631038098563578
"GO:0001982","baroreceptor response to decreased systemic arterial blood pressure",0.0506819326571493,0.238271731143956,-1.63827727828313,2,-0.00749773590690005,0.00327752519192329
"GO:0031279","regulation of cyclase activity",0.0506852195040268,0.238271731143956,-1.63824575212436,70,-0.000516842327458229,0.0068081661662993
"GO:0051249","regulation of lymphocyte activation",0.0506855163673474,0.238271731143956,-1.63824290480684,329,0.000251301019704935,0.00813297604870663
"GO:0016936","galactoside binding",0.0507067034278077,0.238271731143956,1.63803972676354,4,0.00683644956607085,0.0171209705459868
"GO:0060648","mammary gland bud morphogenesis",0.0507082728998895,0.238271731143956,-1.6380246786507,4,-0.00503690911298085,0.00934843591507628
"GO:0005604","basement membrane",0.0507157588326198,0.238271731143956,1.63795290856179,90,0.00214809804109737,0.00834857055767102
"GO:0005978","glycogen biosynthetic process",0.0507224774968153,0.238271731143956,1.63788850171105,51,0.00255991710787162,0.00843760419426153
"GO:0009250","glucan biosynthetic process",0.0507224774968153,0.238271731143956,1.63788850171105,51,0.00255991710787162,0.00843760419426153
"GO:0016560","protein import into peroxisome matrix, docking",0.050734326159862,0.238271731143956,-1.6377749339198,3,-0.00595446731708631,0.00638061078033274
"GO:0009148","pyrimidine nucleoside triphosphate biosynthetic process",0.0507694059264362,0.238376633348372,1.6374388230138,17,0.00377731946829875,0.00955015472601677
"GO:0070301","cellular response to hydrogen peroxide",0.0508443054415683,0.238668400900873,1.6367218043355,69,0.00232527093864658,0.00591902664749454
"GO:0070178","D-serine metabolic process",0.0508604184748893,0.238684141493045,1.6365676629928,2,0.0092884586783652,0.0131358642364861
"GO:0003218","cardiac left ventricle formation",0.0508808463328638,0.238720118259983,1.63637230082873,2,0.00928745729131955,0.013134448061345
"GO:0032720","negative regulation of tumor necrosis factor production",0.0509662490356504,0.239034795115076,-1.63555622622958,25,-0.00146988516724617,0.00847628696620457
"GO:0051119","sugar transmembrane transporter activity",0.0509734736295326,0.239034795115076,1.63548724080629,22,0.00342588997905035,0.00871047609437753
"GO:2001137","positive regulation of endocytic recycling",0.0510871151638262,0.239322198982435,1.63440313542381,3,0.00773984200343788,0.00790801870200149
"GO:0004560","alpha-L-fucosidase activity",0.0511255822141969,0.239322198982435,1.63403660634599,2,0.00927548499254446,0.00978218014688208
"GO:0015928","fucosidase activity",0.0511255822141969,0.239322198982435,1.63403660634599,2,0.00927548499254446,0.00978218014688208
"GO:0000806","Y chromosome",0.0511299641192527,0.239322198982435,1.63399486776846,2,0.00927527104901535,0.00777741744496379
"GO:0016783","sulfurtransferase activity",0.0511350945099446,0.239322198982435,-1.63394600332328,8,-0.00328716231720724,0.00282120365212876
"GO:0004308","exo-alpha-sialidase activity",0.0511627004025851,0.239322198982435,1.6336831377416,4,0.00682066008891976,0.00960363914855768
"GO:0016997","alpha-sialidase activity",0.0511627004025851,0.239322198982435,1.6336831377416,4,0.00682066008891976,0.00960363914855768
"GO:0052794","exo-alpha-(2->3)-sialidase activity",0.0511627004025851,0.239322198982435,1.6336831377416,4,0.00682066008891976,0.00960363914855768
"GO:0052795","exo-alpha-(2->6)-sialidase activity",0.0511627004025851,0.239322198982435,1.6336831377416,4,0.00682066008891976,0.00960363914855768
"GO:0052796","exo-alpha-(2->8)-sialidase activity",0.0511627004025851,0.239322198982435,1.6336831377416,4,0.00682066008891976,0.00960363914855768
"GO:0008089","anterograde axon cargo transport",0.0511890940696587,0.239385798416759,1.63343192058592,20,0.00354601340873801,0.00805645444232652
"GO:0015837","amine transport",0.0512315376418154,0.239470560534409,-1.63302815511982,65,-0.000565849842282499,0.00659442938182297
"GO:0038084","vascular endothelial growth factor signaling pathway",0.0512486051073732,0.239470560534409,1.63286586744117,20,0.00354509636426739,0.00867994070730774
"GO:0060485","mesenchyme development",0.0512514805385441,0.239470560534409,1.63283853035303,197,0.00173823754412295,0.00760352149132591
"GO:0045650","negative regulation of macrophage differentiation",0.0512584264075577,0.239470560534409,-1.63277250013048,8,-0.00328415527370791,0.00636925947926247
"GO:0034667","integrin alpha3-beta1 complex",0.0513631951225295,0.239785808734147,1.63177738900192,2,0.00926390470015566,0.0077937812708169
"GO:0002562","somatic diversification of immune receptors via germline recombination within a single locus",0.0513643609321996,0.239785808734147,-1.63176632502983,51,-0.000754225716254661,0.00728985146817698
"GO:0016444","somatic cell DNA recombination",0.0513643609321996,0.239785808734147,-1.63176632502983,51,-0.000754225716254661,0.00728985146817698
"GO:0050822","peptide stabilization",0.0514274346366695,0.239855797243163,-1.63116802937469,1,-0.0109248959549277,NA
"GO:0050823","peptide antigen stabilization",0.0514274346366695,0.239855797243163,-1.63116802937469,1,-0.0109248959549277,NA
"GO:0045954","positive regulation of natural killer cell mediated cytotoxicity",0.0514428461131375,0.239855797243163,-1.63102193009255,18,-0.00188571825868262,0.00541952102910356
"GO:0045202","synapse",0.0514811798001113,0.239855797243163,-1.63065868142273,545,0.000401494760190451,0.00701223960837117
"GO:0010871","negative regulation of receptor biosynthetic process",0.0515195480241072,0.239855797243163,-1.63029532080929,6,-0.00392435867327979,0.00719697907377394
"GO:0032052","bile acid binding",0.0515397192991843,0.239855797243163,-1.63010437801599,7,-0.00356585380555732,0.00615866021591434
"GO:0046604","positive regulation of mitotic centrosome separation",0.05155083566631,0.239855797243163,1.62999917505274,1,0.0127159086282265,NA
"GO:0042904","9-cis-retinoic acid biosynthetic process",0.0515635069520952,0.239855797243163,-1.62987927866364,4,-0.00500738794255731,0.0046176594870481
"GO:0042905","9-cis-retinoic acid metabolic process",0.0515635069520952,0.239855797243163,-1.62987927866364,4,-0.00500738794255731,0.0046176594870481
"GO:0032963","collagen metabolic process",0.0515770905592578,0.239855797243163,1.62975077585597,110,0.00202260865267985,0.00752216430214986
"GO:0004875","complement receptor activity",0.0516004199940788,0.239855797243163,-1.62953013894793,4,-0.0050061225641762,0.00458904620571102
"GO:0032672","regulation of interleukin-3 production",0.0516068933915777,0.239855797243163,-1.62946893118744,2,-0.0074525860964589,0.0105395483323653
"GO:0042223","interleukin-3 biosynthetic process",0.0516068933915777,0.239855797243163,-1.62946893118744,2,-0.0074525860964589,0.0105395483323653
"GO:0043366","beta selection",0.0516068933915777,0.239855797243163,-1.62946893118744,2,-0.0074525860964589,0.0105395483323653
"GO:0045399","regulation of interleukin-3 biosynthetic process",0.0516068933915777,0.239855797243163,-1.62946893118744,2,-0.0074525860964589,0.0105395483323653
"GO:0045401","positive regulation of interleukin-3 biosynthetic process",0.0516068933915777,0.239855797243163,-1.62946893118744,2,-0.0074525860964589,0.0105395483323653
"GO:0033239","negative regulation of cellular amine metabolic process",0.0516419558148253,0.239855797243163,1.62913751232723,6,0.00572041859153879,0.0103134718408104
"GO:0009139","pyrimidine nucleoside diphosphate biosynthetic process",0.0516487086639649,0.239855797243163,1.62907370324185,3,0.00771753793218756,0.0106506885225853
"GO:0009196","pyrimidine deoxyribonucleoside diphosphate metabolic process",0.0516487086639649,0.239855797243163,1.62907370324185,3,0.00771753793218756,0.0106506885225853
"GO:0009197","pyrimidine deoxyribonucleoside diphosphate biosynthetic process",0.0516487086639649,0.239855797243163,1.62907370324185,3,0.00771753793218756,0.0106506885225853
"GO:0005501","retinoid binding",0.0516614459046672,0.239855797243163,-1.62895336443918,30,-0.00125437390816715,0.00549348295778989
"GO:0019840","isoprenoid binding",0.0516614459046672,0.239855797243163,-1.62895336443918,30,-0.00125437390816715,0.00549348295778989
"GO:0034441","plasma lipoprotein particle oxidation",0.0516849875977805,0.239905552854611,-1.62873100948693,3,-0.0059166178186695,0.00755973537641336
"GO:0047860","diiodophenylpyruvate reductase activity",0.0517967604519786,0.240364723645426,1.62767639472054,1,0.0126990703637399,NA
"GO:0010181","FMN binding",0.0518162997593862,0.240395759746795,-1.62749222051642,15,-0.00214524041675138,0.00981803750663659
"GO:0030643","cellular phosphate ion homeostasis",0.0518592143250288,0.240473291827921,-1.62708790874452,6,-0.00391486782731214,0.00491498652802972
"GO:0072502","cellular trivalent inorganic anion homeostasis",0.0518592143250288,0.240473291827921,-1.62708790874452,6,-0.00391486782731214,0.00491498652802972
"GO:0033632","regulation of cell-cell adhesion mediated by integrin",0.0518837451171642,0.240473291827921,-1.62685691577041,7,-0.00355695753051697,0.0109503683063583
"GO:0001667","ameboidal cell migration",0.0518844331133052,0.240473291827921,1.62685043854056,248,0.00164320177795046,0.00669747724002277
"GO:0043461","proton-transporting ATP synthase complex assembly",0.0519180529885014,0.240509930461344,-1.62653400294459,3,-0.00590742318239592,0.00281133624830691
"GO:0070272","proton-transporting ATP synthase complex biogenesis",0.0519180529885014,0.240509930461344,-1.62653400294459,3,-0.00590742318239592,0.00281133624830691
"GO:0070324","thyroid hormone binding",0.0519518746485262,0.240607023316497,-1.62621583236937,5,-0.00437172601964218,0.00518761983424361
"GO:2001170","negative regulation of ATP biosynthetic process",0.0520745649943839,0.241103937911693,1.62506302678657,2,0.00922948823382399,0.00940875461325328
"GO:0010647","positive regulation of cell communication",0.0520895354046697,0.241103937911693,1.62492251169628,1101,0.00124315489857413,0.00788753029195204
"GO:0042670","retinal cone cell differentiation",0.0521107249533291,0.241103937911693,-1.62472367742956,9,-0.00302531433802702,0.0107814480641045
"GO:0046549","retinal cone cell development",0.0521107249533291,0.241103937911693,-1.62472367742956,9,-0.00302531433802702,0.0107814480641045
"GO:0043666","regulation of phosphoprotein phosphatase activity",0.052159178236881,0.241268444139242,1.62426925237237,29,0.00308444874822106,0.00711152349949094
"GO:0035004","phosphatidylinositol 3-kinase activity",0.0522210105443716,0.241362779665542,1.62368983718686,12,0.00429648168286722,0.00902792271214123
"GO:0034329","cell junction assembly",0.0522368095388692,0.241362779665542,1.62354187613806,202,0.00172295898525629,0.00863989610616418
"GO:0009822","alkaloid catabolic process",0.0522467949620568,0.241362779665542,-1.6234483787879,3,-0.00589450961511653,0.00726600394441906
"GO:0051588","regulation of neurotransmitter transport",0.0522507377184417,0.241362779665542,-1.62341146515428,56,-0.000670350182381207,0.00795502427072594
"GO:0030882","lipid antigen binding",0.0522569901446297,0.241362779665542,-1.62335293201994,2,-0.007421236718412,0.0104952136167595
"GO:0030884","exogenous lipid antigen binding",0.0522569901446297,0.241362779665542,-1.62335293201994,2,-0.007421236718412,0.0104952136167595
"GO:0050433","regulation of catecholamine secretion",0.0522937127915679,0.241472770051609,-1.6230092590257,35,-0.00108701385114512,0.00578670216977339
"GO:0001640","adenylate cyclase inhibiting G-protein coupled glutamate receptor activity",0.0523803095810211,0.241753286706781,-1.62219959142772,7,-0.00354419900241977,0.00624174491196164
"GO:0007196","adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway",0.0523803095810211,0.241753286706781,-1.62219959142772,7,-0.00354419900241977,0.00624174491196164
"GO:0030836","positive regulation of actin filament depolymerization",0.052412269601849,0.241839889347647,1.6219010382963,8,0.00505578360866931,0.00776651575769446
"GO:0002577","regulation of antigen processing and presentation",0.0524249305733299,0.241839889347647,-1.62178280635579,17,-0.00195032022914574,0.00886318641496214
"GO:0019209","kinase activator activity",0.0524922727172564,0.242090841580128,1.62115432591163,54,0.00249651799552652,0.00806608291517679
"GO:0072311","glomerular epithelial cell differentiation",0.0525107594280524,0.242116407656186,-1.6209819079412,17,-0.00194891275887379,0.00699040265370966
"GO:0061386","closure of optic fissure",0.0525919561430443,0.242431032925527,1.62022518952111,2,0.00920469045586319,0.00137042900947653
"GO:2000404","regulation of T cell migration",0.0527123915619006,0.242898178177957,-1.61910448902671,23,-0.00154605776398067,0.00794773146651442
"GO:1903201","regulation of oxidative stress-induced cell death",0.052747207946969,0.242898178177957,1.61878088703146,32,0.00297231157269866,0.00778581353404369
"GO:0010765","positive regulation of sodium ion transport",0.0527517257276568,0.242898178177957,-1.6187389087989,23,-0.00154550552267016,0.0103653347169033
"GO:0010769","regulation of cell morphogenesis involved in differentiation",0.052765462908293,0.242898178177957,1.61861128343378,243,0.00164711846356882,0.00727471846695359
"GO:0030071","regulation of mitotic metaphase/anaphase transition",0.0527659246457598,0.242898178177957,1.61860699411682,50,0.0025567468392147,0.00631396821867416
"GO:0035173","histone kinase activity",0.0527712068916508,0.242898178177957,-1.61855792673518,16,-0.00203227888775701,0.00592301944834136
"GO:0004803","transposase activity",0.052835870732199,0.243106502915103,-1.61795757257525,4,-0.00496418039992788,0.00695284774703978
"GO:0005899","insulin receptor complex",0.0528424591496209,0.243106502915103,-1.61789643689867,3,-0.00587127432414228,0.00207378636814739
"GO:0015174","basic amino acid transmembrane transporter activity",0.0528621551589702,0.243137318515785,-1.61771370844307,9,-0.00300837943993164,0.00603674483153234
"GO:1903242","regulation of cardiac muscle hypertrophy in response to stress",0.0529410521215939,0.243274486331969,1.61698228796673,2,0.00918806799663571,0.00747652917830379
"GO:0030126","COPI vesicle coat",0.0529500222290448,0.243274486331969,1.61689918462952,13,0.00414948039332536,0.0044187134212499
"GO:0055088","lipid homeostasis",0.0529592380558665,0.243274486331969,-1.61681381645931,98,-0.000280857590291833,0.00555837897075666
"GO:0060788","ectodermal placode formation",0.0529700087046996,0.243274486331969,1.61671406057119,14,0.00403081830367861,0.0121528600900702
"GO:0071696","ectodermal placode development",0.0529700087046996,0.243274486331969,1.61671406057119,14,0.00403081830367861,0.0121528600900702
"GO:0071697","ectodermal placode morphogenesis",0.0529700087046996,0.243274486331969,1.61671406057119,14,0.00403081830367861,0.0121528600900702
"GO:0050995","negative regulation of lipid catabolic process",0.0530237991211255,0.243389104652553,-1.61621610367703,20,-0.00171863670359349,0.00654569391189137
"GO:2000209","regulation of anoikis",0.0530289378286712,0.243389104652553,1.61616855381191,20,0.0035180455841775,0.00921023649556262
"GO:0043422","protein kinase B binding",0.0530674934618461,0.243389104652553,1.6158119045102,11,0.00443041061299339,0.0100168735135467
"GO:0014841","skeletal muscle satellite cell proliferation",0.0530677368635517,0.243389104652553,-1.61580965363599,4,-0.0049563957507808,0.00908661204219203
"GO:0014857","regulation of skeletal muscle cell proliferation",0.0530677368635517,0.243389104652553,-1.61580965363599,4,-0.0049563957507808,0.00908661204219203
"GO:0002566","somatic diversification of immune receptors via somatic mutation",0.0530969981361292,0.243389104652553,-1.61553911760924,8,-0.00323999558909841,0.00740709573473701
"GO:0016446","somatic hypermutation of immunoglobulin genes",0.0530969981361292,0.243389104652553,-1.61553911760924,8,-0.00323999558909841,0.00740709573473701
"GO:0002438","acute inflammatory response to antigenic stimulus",0.0530990557087068,0.243389104652553,-1.6155200987055,13,-0.00234722271213663,0.00809570726163163
"GO:0004118","cGMP-stimulated cyclic-nucleotide phosphodiesterase activity",0.0531177838454004,0.243415302452734,-1.61534701447663,3,-0.00586060480112237,0.0121366503551752
"GO:0045760","positive regulation of action potential",0.0531626380025767,0.243561182090668,-1.61493267188274,7,-0.00352429160702005,0.00900755188789585
"GO:0006805","xenobiotic metabolic process",0.0532441551217726,0.243863455635875,-1.61418036229999,155,-3.59089000823329e-05,0.00658618688725691
"GO:0070717","poly-purine tract binding",0.0532618938182272,0.243863455635875,1.61401677543721,14,0.00402559449620942,0.00611033977429516
"GO:0007052","mitotic spindle organization",0.0532883583352327,0.243863455635875,1.61377279901846,43,0.00268156470374409,0.00710059640744848
"GO:2001212","regulation of vasculogenesis",0.0532917357960256,0.243863455635875,-1.61374166911383,12,-0.00247618432574248,0.00928610449059032
"GO:0098573","intrinsic component of mitochondrial membrane",0.0533001725745925,0.243863455635875,1.61366391453567,32,0.00296576017548016,0.00935372059844014
"GO:0010528","regulation of transposition",0.0533198724233257,0.243863455635875,-1.61348239584056,7,-0.00352031864179983,0.0109045519950021
"GO:0010529","negative regulation of transposition",0.0533198724233257,0.243863455635875,-1.61348239584056,7,-0.00352031864179983,0.0109045519950021
"GO:0021545","cranial nerve development",0.0534049886230616,0.244125889641661,1.61269872706528,42,0.00270150485188353,0.00723219007284147
"GO:1902679","negative regulation of RNA biosynthetic process",0.0534138993811336,0.244125889641661,1.6126167425545,927,0.00127317552902922,0.00702938952411012
"GO:0003025","regulation of systemic arterial blood pressure by baroreceptor feedback",0.0534388002292034,0.244125889641661,-1.6123876967288,7,-0.00351731976339932,0.0114810576486086
"GO:1900084","regulation of peptidyl-tyrosine autophosphorylation",0.0534425060452583,0.244125889641661,1.61235361669844,2,0.00916434236138458,0.00303168271939774
"GO:1900086","positive regulation of peptidyl-tyrosine autophosphorylation",0.0534425060452583,0.244125889641661,1.61235361669844,2,0.00916434236138458,0.00303168271939774
"GO:0030099","myeloid cell differentiation",0.0534638801473836,0.244136180124813,1.61215708923191,297,0.00157199646439001,0.00758870529408452
"GO:0023056","positive regulation of signaling",0.0534708612194676,0.244136180124813,1.61209291417958,1096,0.0012412730010798,0.0078825653628487
"GO:0055072","iron ion homeostasis",0.0534918637245132,0.244172475068508,1.61189988401988,88,0.00214219659116409,0.0074345642238955
"GO:2000117","negative regulation of cysteine-type endopeptidase activity",0.0535396040021076,0.244321356610816,1.6114613351955,69,0.00230326994526716,0.00647121745787561
"GO:0008088","axon cargo transport",0.0535506020583954,0.244321356610816,1.61136034943316,35,0.00287224011175194,0.00767985293501276
"GO:0009162","deoxyribonucleoside monophosphate metabolic process",0.0535844251602692,0.244416058777858,1.61104988369629,8,0.00502797806531793,0.00529391870942516
"GO:0043302","positive regulation of leukocyte degranulation",0.0537012796875785,0.244762377901658,-1.60997845720561,12,-0.00246831173374342,0.00752548919975292
"GO:1903307","positive regulation of regulated secretory pathway",0.0537012796875785,0.244762377901658,-1.60997845720561,12,-0.00246831173374342,0.00752548919975292
"GO:0005896","interleukin-6 receptor complex",0.0537120286974313,0.244762377901658,1.60987999347812,3,0.00763721082499999,0.00457192021220832
"GO:0019858","cytosine metabolic process",0.0537126890455632,0.244762377901658,1.60987394502625,2,0.00915163206457865,0.0159223402352889
"GO:0035253","ciliary rootlet",0.0537616196375394,0.244925683619048,1.60942592954693,8,0.00502381676367168,0.00731945602936896
"GO:0006298","mismatch repair",0.0538259245477026,0.245009210675724,-1.60883763541414,22,-0.0015852415169263,0.00485651303118305
"GO:0047322","[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity",0.0538413701594909,0.245009210675724,-1.60869641397651,2,-0.00734611036335362,0.00283371063978819
"GO:0050405","[acetyl-CoA carboxylase] kinase activity",0.0538413701594909,0.245009210675724,-1.60869641397651,2,-0.00734611036335362,0.00283371063978819
"GO:0033277","abortive mitotic cell cycle",0.0538448069398306,0.245009210675724,1.60866499536555,2,0.00914543523248058,0.0174940839949326
"GO:0097196","Shu complex",0.0538454434453064,0.245009210675724,-1.60865917668731,2,-0.00734591949252047,0.00649979240027824
"GO:0000400","four-way junction DNA binding",0.053866353345574,0.245044748463596,-1.60846805702629,9,-0.00298604351164578,0.00760862817305274
"GO:0009153","purine deoxyribonucleotide biosynthetic process",0.0538965921935696,0.245122697197402,1.60819177324203,3,0.00763014549737289,0.00462865178285667
"GO:0031225","anchored component of membrane",0.0539158215746447,0.245150548948786,-1.60801614366951,143,-7.09992465617906e-05,0.0074901317390562
"GO:0043981","histone H4-K5 acetylation",0.053968967364233,0.245272960037741,1.60753099987485,12,0.0042626775983673,0.00939052022704153
"GO:0043982","histone H4-K8 acetylation",0.053968967364233,0.245272960037741,1.60753099987485,12,0.0042626775983673,0.00939052022704153
"GO:0002576","platelet degranulation",0.0539989296975431,0.245349521234452,1.60725765402959,83,0.0021755753344903,0.00957412629434063
"GO:2000377","regulation of reactive oxygen species metabolic process",0.0540249884290495,0.24540831315051,1.60702001827856,76,0.00223311333343962,0.00867337495748017
"GO:0051305","chromosome movement towards spindle pole",0.0540488450707441,0.2454263951138,1.60680254344878,6,0.00565432862709489,0.00641763515087027
"GO:0001914","regulation of T cell mediated cytotoxicity",0.0540605112877067,0.2454263951138,-1.60669622300922,24,-0.00147614287567593,0.00854946457675726
"GO:0035871","protein K11-linked deubiquitination",0.0540683296409691,0.2454263951138,-1.6066249803611,9,-0.00298159095050505,0.00646662371705965
"GO:0033005","positive regulation of mast cell activation",0.0541429187060652,0.245671435345618,-1.6059457171283,12,-0.00245987529220327,0.00755814396347909
"GO:0014807","regulation of somitogenesis",0.0541535003121224,0.245671435345618,-1.60584941318716,8,-0.00321516620399593,0.00529513741435874
"GO:0019359","nicotinamide nucleotide biosynthetic process",0.0541748460815073,0.245671435345618,-1.60565518915032,14,-0.00220991477387273,0.00544616122456098
"GO:0019363","pyridine nucleotide biosynthetic process",0.0541748460815073,0.245671435345618,-1.60565518915032,14,-0.00220991477387273,0.00544616122456098
"GO:0060364","frontal suture morphogenesis",0.0543511522011844,0.246411210149141,1.60405330030754,4,0.00671327340663258,0.0094434881362221
"GO:0031526","brush border membrane",0.0543809322283328,0.246486483708067,-1.603783129795,44,-0.000850759342842474,0.00646384445066511
"GO:0016973","poly(A)+ mRNA export from nucleus",0.0544653332905564,0.24680923559427,1.60301806141382,9,0.00477236315966584,0.00919064724243983
"GO:0044433","cytoplasmic vesicle part",0.0545233442206363,0.247012273429698,1.60249275464863,495,0.00141429352290283,0.00774722493278649
"GO:1902165","regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",0.054596864843829,0.247126804688845,1.60182763755498,14,0.00400198790426622,0.0084012312972207
"GO:0043491","protein kinase B signaling",0.0546004846263653,0.247126804688845,-1.60179490886176,131,-0.000110919492634381,0.00714569463063314
"GO:0045410","positive regulation of interleukin-6 biosynthetic process",0.0546097398876641,0.247126804688845,-1.60171123411985,7,-0.00348807207993304,0.0136991534551752
"GO:0034238","macrophage fusion",0.0546370411570357,0.247126804688845,1.60146447477354,4,0.00670389079068894,0.00976174496214153
"GO:0034239","regulation of macrophage fusion",0.0546370411570357,0.247126804688845,1.60146447477354,4,0.00670389079068894,0.00976174496214153
"GO:0034767","positive regulation of ion transmembrane transport",0.0546410897127116,0.247126804688845,-1.60142789067553,31,-0.00118347676935108,0.00829861581322981
"GO:0002200","somatic diversification of immune receptors",0.0546499000907786,0.247126804688845,-1.6013482845703,53,-0.000692380846307119,0.00715589752661194
"GO:0060191","regulation of lipase activity",0.0546543136425614,0.247126804688845,-1.60130840977095,119,-0.000160705606481677,0.00810798663483436
"GO:0030100","regulation of endocytosis",0.0546951031875681,0.247201524908998,1.60094001183843,157,0.00182173616266457,0.00811486765626632
"GO:2000628","regulation of miRNA metabolic process",0.0546972688762078,0.247201524908998,1.60092045811489,7,0.00528539169964226,0.00834759142581541
"GO:0070372","regulation of ERK1 and ERK2 cascade",0.0547175744264025,0.247233562130504,-1.6007371516874,150,-4.35930682338873e-05,0.00720597009270179
"GO:0060413","atrial septum morphogenesis",0.0547728988386692,0.247423773406459,1.60023798853021,13,0.00411599375840856,0.0072358564704085
"GO:0060348","bone development",0.0548406062289224,0.24761832925177,1.59962764232135,139,0.00187933252711581,0.00684753666336538
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle",0.0548526097247698,0.24761832925177,1.59951949933873,41,0.00270849534539095,0.00638527191895223
"GO:0009394","2'-deoxyribonucleotide metabolic process",0.0548556803388931,0.24761832925177,1.59949183828816,29,0.00305112215538252,0.00726533432922249
"GO:0019752","carboxylic acid metabolic process",0.0548859928060586,0.247695387558536,1.59921883977084,941,0.00126714898691996,0.00782072678554893
"GO:0043407","negative regulation of MAP kinase activity",0.0549250662574918,0.247700276081985,1.59886711428862,71,0.00227246675393607,0.00667360955113353
"GO:0070634","transepithelial ammonium transport",0.0549357530455733,0.247700276081985,-1.5987709500161,3,-0.00579123273480174,0.00970090002473236
"GO:0004066","asparagine synthase (glutamine-hydrolyzing) activity",0.0549522193821606,0.247700276081985,1.59862280783775,2,0.00909396100486795,0.0121514593224443
"GO:0006529","asparagine biosynthetic process",0.0549522193821606,0.247700276081985,1.59862280783775,2,0.00909396100486795,0.0121514593224443
"GO:0004911","interleukin-2 receptor activity",0.0549793707790785,0.247700276081985,-1.59837861230056,3,-0.0057895907721943,0.0100278653724725
"GO:0019976","interleukin-2 binding",0.0549793707790785,0.247700276081985,-1.59837861230056,3,-0.0057895907721943,0.0100278653724725
"GO:0042105","alpha-beta T cell receptor complex",0.0549797683252646,0.247700276081985,-1.59837503753852,5,-0.00428147853629905,0.00789544503888268
"GO:0060322","head development",0.0550288931978003,0.247820347864804,1.59793346049983,57,0.00243153343493458,0.00689294645975576
"GO:0031968","organelle outer membrane",0.0550711222522601,0.247820347864804,1.59755411795453,150,0.0018412031780493,0.00708531027000687
"GO:0016646","oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",0.0550735122563644,0.247820347864804,-1.59753265547971,16,-0.0019941915548288,0.00525779963835493
"GO:0097001","ceramide binding",0.0550910345823204,0.247820347864804,1.59737532571821,3,0.00758487785759245,0.00830832173442297
"GO:0018872","arsonoacetate metabolic process",0.0550991567823009,0.247820347864804,-1.59730241137916,1,-0.0106793978228377,NA
"GO:0030791","arsenite methyltransferase activity",0.0550991567823009,0.247820347864804,-1.59730241137916,1,-0.0106793978228377,NA
"GO:0030792","methylarsonite methyltransferase activity",0.0550991567823009,0.247820347864804,-1.59730241137916,1,-0.0106793978228377,NA
"GO:0006304","DNA modification",0.0551365914197064,0.24792910555217,-1.59696646413315,78,-0.000408111265529506,0.00689243463287118
"GO:0030673","axolemma",0.055259025677263,0.248415687768961,-1.59586896711305,12,-0.00243879485786119,0.00698639413383705
"GO:0016332","establishment or maintenance of polarity of embryonic epithelium",0.0552967307755479,0.248415687768961,-1.59553136657535,1,-0.0106665591913017,NA
"GO:0072060","outer medullary collecting duct development",0.0552967307755479,0.248415687768961,-1.59553136657535,1,-0.0106665591913017,NA
"GO:0007403","glial cell fate determination",0.0552979217293892,0.248415687768961,1.59552070608163,3,0.00757711613606111,0.015164121624687
"GO:1901032","negative regulation of response to reactive oxygen species",0.0553542740019458,0.248609135529507,1.59501649144844,7,0.00526921805162975,0.0105011063971349
"GO:0051346","negative regulation of hydrolase activity",0.0553927030038365,0.248722012095479,1.59467287854525,338,0.00152231218818467,0.0069874266431994
"GO:0006520","cellular amino acid metabolic process",0.0554697087087483,0.248969124188397,1.59398489816958,457,0.0014330240174407,0.00768954657776019
"GO:0005671","Ada2/Gcn5/Ada3 transcription activator complex",0.0554743563357873,0.248969124188397,1.59394339971604,15,0.00388195761252998,0.0083661864194697
"GO:0009200","deoxyribonucleoside triphosphate metabolic process",0.0555005470039925,0.248994309452115,1.59370959571685,17,0.00370047128591448,0.00854568566075361
